2026-07-28 17:22:32 | INFO  | costpilot | ✅ 数据库连接正常
2026-07-28 17:22:32 | INFO  | costpilot | 数据库已备份: H:\AI-model\造价通\data\sqlite\backups\工程助手_20260728_172232.db (6512640 bytes)
2026-07-28 17:22:32 | INFO  | costpilot | ✅ 数据库备份完成: H:\AI-model\造价通\data\sqlite\backups\工程助手_20260728_172232.db
2026-07-28 17:22:32 | INFO  | costpilot | ✅ 配置文件存在: H:\AI-model\造价通\config.yaml
2026-07-28 17:22:32 | INFO  | costpilot | ✅ 前端静态文件已就绪: H:\AI-model\造价通\apps\web\dist
2026-07-28 17:22:32 | INFO  | costpilot | ✅ 日志目录: H:\AI-model\造价通\logs
2026-07-28 17:22:32 | INFO  | costpilot | ==================================================
2026-07-28 17:22:32 | INFO  | costpilot | 🚀 工程助手 API 启动成功
2026-07-28 17:22:32 | INFO  | costpilot |   版本: 0.1.0
2026-07-28 17:22:32 | INFO  | costpilot |   系统: Windows 11
2026-07-28 17:22:32 | INFO  | costpilot |   Python: 3.12.8
2026-07-28 17:22:32 | INFO  | costpilot |   文档: http://127.0.0.1:8765/docs
2026-07-28 17:22:32 | INFO  | costpilot | ==================================================
2026-07-28 17:22:51 | INFO  | costpilot | ✅ 数据库连接正常
2026-07-28 17:22:51 | INFO  | costpilot | 数据库已备份: H:\AI-model\造价通\data\sqlite\backups\工程助手_20260728_172251.db (6512640 bytes)
2026-07-28 17:22:51 | INFO  | costpilot | ✅ 数据库备份完成: H:\AI-model\造价通\data\sqlite\backups\工程助手_20260728_172251.db
2026-07-28 17:22:51 | INFO  | costpilot | ✅ 配置文件存在: H:\AI-model\造价通\config.yaml
2026-07-28 17:22:51 | INFO  | costpilot | ✅ 前端静态文件已就绪: H:\AI-model\造价通\apps\web\dist
2026-07-28 17:22:51 | INFO  | costpilot | ✅ 日志目录: H:\AI-model\造价通\logs
2026-07-28 17:22:51 | INFO  | costpilot | ==================================================
2026-07-28 17:22:51 | INFO  | costpilot | 🚀 工程助手 API 启动成功
2026-07-28 17:22:51 | INFO  | costpilot |   版本: 0.1.0
2026-07-28 17:22:51 | INFO  | costpilot |   系统: Windows 11
2026-07-28 17:22:51 | INFO  | costpilot |   Python: 3.12.8
2026-07-28 17:22:51 | INFO  | costpilot |   文档: http://127.0.0.1:8765/docs
2026-07-28 17:22:51 | INFO  | costpilot | ==================================================
2026-07-28 17:23:49 | INFO  | costpilot | ✅ 数据库连接正常
2026-07-28 17:23:49 | INFO  | costpilot | 数据库已备份: H:\AI-model\造价通\data\sqlite\backups\工程助手_20260728_172349.db (6512640 bytes)
2026-07-28 17:23:49 | INFO  | costpilot | ✅ 数据库备份完成: H:\AI-model\造价通\data\sqlite\backups\工程助手_20260728_172349.db
2026-07-28 17:23:49 | INFO  | costpilot | ✅ 配置文件存在: H:\AI-model\造价通\config.yaml
2026-07-28 17:23:49 | INFO  | costpilot | ✅ 前端静态文件已就绪: H:\AI-model\造价通\apps\web\dist
2026-07-28 17:23:49 | INFO  | costpilot | ✅ 日志目录: H:\AI-model\造价通\logs
2026-07-28 17:23:49 | INFO  | costpilot | ==================================================
2026-07-28 17:23:49 | INFO  | costpilot | 🚀 工程助手 API 启动成功
2026-07-28 17:23:49 | INFO  | costpilot |   版本: 0.1.0
2026-07-28 17:23:49 | INFO  | costpilot |   系统: Windows 11
2026-07-28 17:23:49 | INFO  | costpilot |   Python: 3.12.8
2026-07-28 17:23:49 | INFO  | costpilot |   文档: http://127.0.0.1:8765/docs
2026-07-28 17:23:49 | INFO  | costpilot | ==================================================
2026-07-28 17:24:51 | INFO  | costpilot | GET /api/v1/prices/specialties → 200 (3ms)
2026-07-28 17:24:51 | INFO  | costpilot | GET /api/v1/prices/search → 200 (34ms)
2026-07-28 17:29:29 | INFO  | costpilot | ✅ 数据库连接正常
2026-07-28 17:29:29 | INFO  | costpilot | 数据库已备份: H:\AI-model\造价通\data\sqlite\backups\工程助手_20260728_172929.db (6512640 bytes)
2026-07-28 17:29:29 | INFO  | costpilot | ✅ 数据库备份完成: H:\AI-model\造价通\data\sqlite\backups\工程助手_20260728_172929.db
2026-07-28 17:29:29 | INFO  | costpilot | ✅ 配置文件存在: H:\AI-model\造价通\config.yaml
2026-07-28 17:29:29 | INFO  | costpilot | ✅ 前端静态文件已就绪: H:\AI-model\造价通\apps\web\dist
2026-07-28 17:29:29 | INFO  | costpilot | ✅ 日志目录: H:\AI-model\造价通\logs
2026-07-28 17:29:29 | INFO  | costpilot | ==================================================
2026-07-28 17:29:29 | INFO  | costpilot | 🚀 工程助手 API 启动成功
2026-07-28 17:29:29 | INFO  | costpilot |   版本: 0.1.0
2026-07-28 17:29:29 | INFO  | costpilot |   系统: Windows 11
2026-07-28 17:29:29 | INFO  | costpilot |   Python: 3.12.8
2026-07-28 17:29:29 | INFO  | costpilot |   文档: http://127.0.0.1:8765/docs
2026-07-28 17:29:29 | INFO  | costpilot | ==================================================
2026-07-28 17:29:41 | INFO  | costpilot | GET /api/v1/prices → 200 (17ms)
2026-07-28 17:29:50 | INFO  | costpilot | GET / → 200 (19ms)
2026-07-28 17:34:47 | INFO  | costpilot | GET /health → 200 (1ms)
2026-07-28 17:34:47 | INFO  | costpilot | GET /api/v1/ai/config → 200 (1ms)
2026-07-28 17:34:47 | INFO  | costpilot | GET /api/status → 200 (2ms)
2026-07-28 17:34:47 | INFO  | costpilot | GET /api/v1/quotes/generate → 404 (2ms)
2026-07-28 17:41:02 | INFO  | costpilot | ✅ 数据库连接正常
2026-07-28 17:41:02 | INFO  | costpilot | 数据库已备份: H:\AI-model\造价通\data\sqlite\backups\工程助手_20260728_174102.db (6512640 bytes)
2026-07-28 17:41:02 | INFO  | costpilot | ✅ 数据库备份完成: H:\AI-model\造价通\data\sqlite\backups\工程助手_20260728_174102.db
2026-07-28 17:41:02 | INFO  | costpilot | ✅ 配置文件存在: H:\AI-model\造价通\config.yaml
2026-07-28 17:41:02 | INFO  | costpilot | ✅ 前端静态文件已就绪: H:\AI-model\造价通\apps\web\dist
2026-07-28 17:41:02 | INFO  | costpilot | ✅ 日志目录: H:\AI-model\造价通\logs
2026-07-28 17:41:02 | INFO  | costpilot | ==================================================
2026-07-28 17:41:02 | INFO  | costpilot | 🚀 工程助手 API 启动成功
2026-07-28 17:41:02 | INFO  | costpilot |   版本: 0.1.0
2026-07-28 17:41:02 | INFO  | costpilot |   系统: Windows 11
2026-07-28 17:41:02 | INFO  | costpilot |   Python: 3.12.8
2026-07-28 17:41:02 | INFO  | costpilot |   文档: http://127.0.0.1:8765/docs
2026-07-28 17:41:02 | INFO  | costpilot | ==================================================
2026-07-28 17:41:13 | INFO  | costpilot | GET /health → 200 (3ms)
2026-07-28 17:41:13 | INFO  | costpilot | GET /api/v1/prices → 200 (17ms)
2026-07-28 17:41:13 | INFO  | costpilot | GET / → 200 (17ms)
2026-07-28 17:58:05 | INFO  | costpilot | GET /health → 200 (2ms)
2026-07-28 17:58:07 | INFO  | costpilot | GET /api/v1/ai/config → 200 (16ms)
2026-07-28 17:58:07 | INFO  | costpilot | GET /api/v1/ai/config → 200 (10ms)
2026-07-28 17:58:07 | INFO  | costpilot | GET /api/v1/ai/config → 200 (3ms)
2026-07-28 17:58:07 | INFO  | costpilot | GET /health → 200 (1ms)
2026-07-28 17:58:07 | INFO  | costpilot | GET /api/v1/status → 404 (7ms)
2026-07-28 17:58:08 | INFO  | costpilot | GET /health → 200 (1ms)
2026-07-28 17:58:10 | INFO  | costpilot | GET /health → 200 (1ms)
2026-07-28 17:58:11 | INFO  | costpilot | GET /health → 200 (2ms)
